,UserName,SrcDevice,DstDevice,Authent Type,Failure,DailyCount,Hour,Day
0,User735240,Comp700191,Comp774964,NetworkLogon,0,3.0,0,59
1,User735240,Comp700191,Comp700191,NetworkLogon,0,1.0,0,59
2,User735240,Comp738078,ActiveDirectory,TGT,0,1.0,5,59
3,User735240,Comp700191,ActiveDirectory,TGT,0,1.0,6,59
4,User735240,Comp738078,Comp700191,TGS,0,2.0,12,59
5,User735240,Comp738078,Comp700191,RemoteInteractive,0,1.0,17,59
6,User735240,Comp700191,Comp370444,TGS,0,1.0,18,59
7,User735240,Comp700191,Comp700191,TGS,0,1.0,19,59
8,User735240,Comp700191,Comp370444,NetworkLogon,0,1.0,19,59
9,User735240,Comp700191,ActiveDirectory,NetworkLogon,0,18.0,23,59
10,User735240,Comp700191,ActiveDirectory,TGS,0,10.0,23,59
11,User735240,Comp700191,ActiveDirectory,NetworkLogon,0,2.0,21,62
12,User735240,Comp700191,ActiveDirectory,TGS,0,1.0,21,62
13,User735240,Comp700191,Comp370444,TGS,0,1.0,12,63
14,User735240,Comp700191,Comp550312,NetworkLogon,1,1.0,14,63
15,User735240,Comp700191,Comp370444,NetworkLogon,0,1.0,15,63
16,User735240,Comp700191,None,InteractiveLogon,0,2.0,18,63
17,User735240,Comp700191,Comp700191,TGS,0,2.0,19,63
18,User735240,Comp700191,ActiveDirectory,NetworkLogon,0,18.0,22,63
19,User735240,Comp700191,ActiveDirectory,TGS,0,9.0,22,63
20,User735240,Comp700191,Comp700191,NetworkLogon,0,2.0,0,64
21,User735240,Comp700191,Comp550312,TGS,0,1.0,4,64
22,User735240,Comp738078,ActiveDirectory,TGT,0,1.0,5,64
23,User735240,Comp700191,ActiveDirectory,TGT,0,1.0,6,64
24,User735240,Comp550312,None,InteractiveLogon,0,1.0,10,64
25,User735240,Comp738078,Comp700191,TGS,0,2.0,12,64
26,User735240,Comp550312,ActiveDirectory,NetworkLogon,0,1.0,14,64
27,User735240,Comp550312,Comp700191,NetworkLogon,1,1.0,15,64
28,User735240,Comp550312,ActiveDirectory,TGS,0,1.0,15,64
29,User735240,Comp550312,Comp550312,TGS,0,1.0,15,64
30,User735240,Comp738078,Comp700191,RemoteInteractive,0,1.0,17,64
31,User735240,Comp700191,Comp370444,TGS,0,1.0,18,64
32,User735240,Comp700191,Comp700191,TGS,0,2.0,19,64
33,User735240,Comp700191,Comp370444,NetworkLogon,0,2.0,19,64
34,User735240,Comp700191,Comp550312,NetworkLogon,0,2.0,20,64
35,User735240,Comp700191,ActiveDirectory,NetworkLogon,0,17.0,23,64
36,User735240,Comp700191,ActiveDirectory,TGS,0,10.0,23,64
37,User735240,Comp700191,Comp700191,NetworkLogon,0,3.0,0,65
38,User735240,Comp700191,ActiveDirectory,TGT,0,1.0,6,65
39,User735240,Comp700191,Comp550312,NetworkLogon,1,1.0,7,65
40,User735240,Comp738078,ActiveDirectory,TGT,0,1.0,10,65
41,User735240,Comp738078,Comp700191,TGS,0,2.0,12,65
42,User735240,Comp700191,Comp550312,TGS,0,1.0,15,65
43,User735240,Comp738078,Comp700191,RemoteInteractive,0,1.0,17,65
44,User735240,Comp700191,Comp370444,TGS,0,1.0,18,65
45,User735240,Comp700191,Comp700191,TGS,0,3.0,19,65
46,User735240,Comp700191,Comp370444,NetworkLogon,0,1.0,19,65
47,User735240,Comp700191,Comp550312,NetworkLogon,0,2.0,20,65
48,User735240,Comp700191,None,InteractiveLogon,0,1.0,21,65
49,User735240,Comp700191,ActiveDirectory,NetworkLogon,0,18.0,23,65
50,User735240,Comp700191,ActiveDirectory,TGS,0,10.0,23,65
51,User735240,Comp215429,Comp700191,NetworkLogon,0,1.0,12,66
52,User735240,Comp700191,ActiveDirectory,NetworkLogon,0,2.0,23,66
53,User735240,Comp700191,ActiveDirectory,TGS,0,1.0,23,66
54,User735240,Comp700191,Comp700191,NetworkLogon,0,2.0,0,73
55,User735240,Comp738078,Comp335697,RemoteInteractive,0,3.0,2,73
56,User735240,Comp335697,ActiveDirectory,NetworkLogon,0,43.0,4,73
57,User735240,Comp391844,Comp391844,TGS,0,4.0,5,73
58,User735240,Comp391844,ActiveDirectory,TGT,0,5.0,5,73
59,User735240,Comp391844,ActiveDirectory,TGS,0,27.0,5,73
60,User735240,Comp738078,ActiveDirectory,TGT,0,2.0,5,73
61,User735240,Comp335697,Comp370444,NetworkLogon,0,8.0,6,73
62,User735240,Comp550312,Comp370444,NetworkLogon,0,6.0,7,73
63,User735240,Comp335697,Comp335697,TGS,0,3.0,8,73
64,User735240,Comp391844,ActiveDirectory,NetworkLogon,0,45.0,10,73
65,User735240,Comp550312,None,InteractiveLogon,0,1.0,10,73
66,User735240,Comp738078,Comp550312,TGS,0,3.0,11,73
67,User735240,Comp335697,ActiveDirectory,TGT,0,3.0,12,73
68,User735240,Comp550312,ActiveDirectory,NetworkLogon,0,28.0,14,73
69,User735240,Comp738078,Comp391844,RemoteInteractive,0,8.0,14,73
70,User735240,Comp335697,Comp370444,TGS,0,3.0,15,73
71,User735240,Comp550312,Comp700191,NetworkLogon,1,1.0,15,73
72,User735240,Comp550312,Comp370444,TGS,0,2.0,15,73
73,User735240,Comp550312,ActiveDirectory,TGS,0,13.0,15,73
74,User735240,Comp550312,ActiveDirectory,TGT,0,2.0,16,73
75,User735240,Comp391844,Comp370444,TGS,0,3.0,17,73
76,User735240,Comp391844,Comp370444,NetworkLogon,0,7.0,19,73
77,User735240,Comp738078,Comp391844,TGS,0,6.0,20,73
78,User735240,Comp738078,Comp550312,RemoteInteractive,0,2.0,20,73
79,User735240,Comp738078,Comp335697,TGS,0,4.0,21,73
80,User735240,Comp335697,ActiveDirectory,TGS,0,20.0,23,73
81,User735240,Comp550312,Comp550312,TGS,0,3.0,23,73
82,User735240,Comp700191,Comp700191,NetworkLogon,0,1.0,0,74
83,User735240,Comp550312,ActiveDirectory,TGS,0,2.0,11,74
84,User735240,Comp550312,Comp550312,NetworkLogon,0,5.0,13,74
85,User735240,Comp550312,ActiveDirectory,NetworkLogon,0,2.0,14,74
86,User735240,Comp700191,Comp700191,NetworkLogon,0,1.0,0,75
87,User735240,Comp738078,ActiveDirectory,TGT,0,1.0,5,75
88,User735240,Comp700191,ActiveDirectory,TGT,0,1.0,6,75
89,User735240,Comp700191,Comp550312,NetworkLogon,1,1.0,7,75
90,User735240,Comp738078,Comp700191,TGS,0,2.0,12,75
91,User735240,Comp550312,Comp550312,NetworkLogon,0,4.0,13,75
92,User735240,Comp738078,Comp700191,RemoteInteractive,0,1.0,17,75
93,User735240,Comp700191,Comp370444,TGS,0,1.0,18,75
94,User735240,Comp700191,Comp370444,NetworkLogon,0,2.0,19,75
95,User735240,Comp700191,None,InteractiveLogon,0,1.0,21,75
96,User735240,Comp700191,Comp700191,TGS,0,2.0,21,75
97,User735240,Comp700191,ActiveDirectory,NetworkLogon,0,22.0,23,75
98,User735240,Comp700191,ActiveDirectory,TGS,0,12.0,23,75
99,User735240,Comp738078,Comp700191,TGS,0,6.0,0,76
100,User735240,Comp508178,ActiveDirectory,TGT,0,1.0,1,76
101,User735240,Comp119733,ActiveDirectory,NetworkLogon,0,15.0,2,76
102,User735240,Comp460748,Comp460748,TGS,0,2.0,3,76
103,User735240,Comp550312,Comp550312,NetworkLogon,0,1.0,3,76
104,User735240,Comp119733,ActiveDirectory,TGT,0,1.0,4,76
105,User735240,Comp460748,ActiveDirectory,TGS,0,13.0,4,76
106,User735240,Comp460748,Comp370444,TGS,0,1.0,4,76
107,User735240,Comp119733,Comp370444,TGS,0,1.0,6,76
108,User735240,Comp460748,ActiveDirectory,TGT,0,2.0,8,76
109,User735240,Comp738078,Comp119733,RemoteInteractive,0,1.0,8,76
110,User735240,Comp508178,ActiveDirectory,NetworkLogon,0,14.0,9,76
111,User735240,Comp460748,Comp370444,NetworkLogon,0,3.0,10,76
112,User735240,Comp738078,ActiveDirectory,TGT,0,4.0,11,76
113,User735240,Comp738078,Comp508178,RemoteInteractive,0,1.0,11,76
114,User735240,Comp700191,Comp370444,TGS,0,2.0,12,76
115,User735240,Comp508178,Comp508178,TGS,0,1.0,12,76
116,User735240,Comp508178,ActiveDirectory,TGS,0,6.0,12,76
117,User735240,Comp700191,ActiveDirectory,TGT,0,3.0,12,76
118,User735240,Comp460748,ActiveDirectory,NetworkLogon,0,19.0,13,76
119,User735240,Comp738078,Comp700191,RemoteInteractive,0,3.0,13,76
120,User735240,Comp119733,Comp119733,TGS,0,1.0,13,76
121,User735240,Comp119733,Comp370444,NetworkLogon,0,2.0,13,76
122,User735240,Comp700191,Comp550312,NetworkLogon,1,2.0,14,76
123,User735240,Comp700191,Comp700191,TGS,0,5.0,15,76
124,User735240,Comp700191,Comp370444,NetworkLogon,0,3.0,15,76
125,User735240,Comp700191,None,InteractiveLogon,0,2.0,18,76
126,User735240,Comp119733,ActiveDirectory,TGS,0,4.0,19,76
127,User735240,Comp508178,Comp370444,NetworkLogon,0,2.0,19,76
128,User735240,Comp738078,Comp508178,TGS,0,2.0,19,76
129,User735240,Comp738078,Comp460748,TGS,0,4.0,21,76
130,User735240,Comp738078,Comp460748,RemoteInteractive,0,2.0,22,76
131,User735240,Comp508178,Comp370444,TGS,0,1.0,22,76
132,User735240,Comp700191,ActiveDirectory,NetworkLogon,0,37.0,22,76
133,User735240,Comp738078,Comp119733,TGS,0,3.0,22,76
134,User735240,Comp700191,ActiveDirectory,TGS,0,21.0,22,76
135,User735240,Comp700191,ActiveDirectory,NetworkLogon,0,1.0,21,77
136,User735240,Comp700191,ActiveDirectory,TGS,0,1.0,21,77
137,User735240,Comp550312,Comp550312,NetworkLogon,0,5.0,13,78
138,User735240,Comp700191,Comp700191,NetworkLogon,0,1.0,0,79
139,User735240,Comp550312,None,InteractiveLogon,0,1.0,5,79
140,User735240,Comp550312,Comp550312,NetworkLogon,0,5.0,13,79
141,User735240,Comp550312,Comp700191,NetworkLogon,1,1.0,15,79
142,User735240,Comp550312,Comp550312,TGS,0,1.0,15,79
143,User735240,Comp060028,ActiveDirectory,TGT,0,4.0,2,80
144,User735240,Comp700191,Comp829338,TGS,0,1.0,5,80
145,User735240,Comp700191,ActiveDirectory,TGT,0,2.0,6,80
146,User735240,Comp700191,Comp550312,NetworkLogon,1,1.0,7,80
147,User735240,Comp700191,Comp915658,TGS,0,1.0,7,80
148,User735240,Comp700191,Comp915658,NetworkLogon,0,1.0,9,80
149,User735240,Comp550312,Comp550312,NetworkLogon,0,6.0,13,80
150,User735240,Comp060028,Comp700191,TGS,0,7.0,17,80
151,User735240,Comp700191,Comp370444,TGS,0,1.0,18,80
152,User735240,Comp700191,Comp700191,TGS,0,3.0,19,80
153,User735240,Comp700191,Comp370444,NetworkLogon,0,2.0,19,80
154,User735240,Comp700191,Comp550312,NetworkLogon,0,2.0,20,80
155,User735240,Comp700191,None,InteractiveLogon,0,2.0,21,80
156,User735240,Comp060028,Comp700191,NetworkLogon,0,7.0,23,80
157,User735240,Comp700191,ActiveDirectory,NetworkLogon,0,40.0,23,80
158,User735240,Comp700191,ActiveDirectory,TGS,0,17.0,23,80
159,User735240,Comp550312,Comp550312,NetworkLogon,0,4.0,13,81
160,User735240,Comp060028,Comp700191,NetworkLogon,1,10.0,2,82
161,User525118,Comp072791,None,InteractiveLogon,0,2.0,3,61
162,User525118,Comp896166,None,InteractiveLogon,0,2.0,9,61
163,User525118,Comp853260,None,InteractiveLogon,0,2.0,16,61
164,User525118,Comp042447,None,InteractiveLogon,0,2.0,21,61
165,User525118,Comp892701,None,InteractiveLogon,0,2.0,22,61
166,User525118,Comp275585,None,CachedInteractive,1,5.0,1,64
167,User525118,Comp119024,None,WorkstationUnlock,0,15.0,3,64
168,User525118,Comp119024,None,CachedInteractive,1,5.0,10,64
169,User525118,Comp119024,None,WorkstationLock,0,5.0,10,64
170,User525118,Comp275585,None,InteractiveLogon,1,1.0,14,64
171,User525118,Comp275585,None,InteractiveLogon,0,8.0,17,64
172,User525118,Comp119024,None,InteractiveLogon,0,12.0,23,64
173,User525118,Comp412623,Comp908480,NetworkLogon,1,28.0,5,66
174,User525118,Comp412623,None,InteractiveLogon,0,10.0,10,66
175,User525118,Comp412623,None,CachedInteractive,1,6.0,11,66
176,User525118,Comp412623,ActiveDirectory,NetworkLogon,1,8.0,18,66
177,User525118,Comp412623,None,InteractiveLogon,1,3.0,21,66
178,User525118,Comp275585,None,CachedInteractive,1,3.0,1,71
179,User525118,Comp275585,None,InteractiveLogon,0,6.0,17,71
180,User525118,Comp275585,ActiveDirectory,NetworkLogon,1,1.0,22,71
181,User525118,Comp275585,None,CachedInteractive,1,2.0,0,73
182,User525118,Comp275585,None,InteractiveLogon,0,4.0,17,73
183,User525118,Comp160577,None,InteractiveLogon,0,10.0,6,75
184,User525118,Comp119024,None,CachedInteractive,1,8.0,10,75
185,User525118,Comp275585,None,InteractiveLogon,0,2.0,17,75
186,User525118,Comp160577,None,InteractiveLogon,1,1.0,17,75
187,User525118,Comp160577,None,CachedInteractive,1,6.0,18,75
188,User525118,Comp275585,None,CachedInteractive,1,1.0,20,75
189,User525118,Comp119024,None,InteractiveLogon,0,16.0,21,75
190,User525118,Comp215429,Comp939275,NetworkLogon,0,1.0,4,78
191,User525118,Comp215429,ActiveDirectory,NetworkLogon,1,1.0,21,78
192,User525118,Comp896166,None,InteractiveLogon,0,4.0,3,79
193,User525118,Comp825706,None,CachedInteractive,1,1.0,3,79
194,User525118,Comp853260,None,InteractiveLogon,1,1.0,7,79
195,User525118,Comp896166,None,CachedInteractive,1,2.0,8,79
196,User525118,Comp853260,None,CachedInteractive,1,3.0,10,79
197,User525118,Comp042447,None,InteractiveLogon,0,2.0,10,79
198,User525118,Comp275585,None,InteractiveLogon,0,6.0,17,79
199,User525118,Comp042447,None,CachedInteractive,1,1.0,19,79
200,User525118,Comp825706,None,InteractiveLogon,0,2.0,20,79
201,User525118,Comp853260,None,InteractiveLogon,0,4.0,20,79
202,User525118,Comp275585,None,CachedInteractive,1,3.0,20,79
203,User525118,Comp275585,Comp896088,RemoteInteractive,0,1.0,0,80
204,User525118,Comp237357,None,CachedInteractive,1,1.0,0,80
205,User525118,Comp275585,Comp939275,RemoteInteractive,0,2.0,0,80
206,User525118,Comp825706,None,CachedInteractive,1,1.0,3,80
207,User525118,Comp237357,None,InteractiveLogon,0,2.0,4,80
208,User525118,Comp939275,ActiveDirectory,NetworkLogon,1,10.0,6,80
209,User525118,Comp160577,None,InteractiveLogon,0,2.0,6,80
210,User525118,Comp275585,Comp939275,NetworkLogon,0,2.0,7,80
211,User525118,Comp275585,Comp896088,NetworkLogon,0,2.0,8,80
212,User525118,Comp160577,None,CachedInteractive,1,1.0,18,80
213,User525118,Comp825706,None,InteractiveLogon,0,2.0,20,80
214,User525118,Comp275585,Comp939275,RemoteInteractive,0,4.0,0,81
215,User525118,Comp275585,None,CachedInteractive,1,1.0,1,81
216,User525118,Comp825706,None,InteractiveLogon,0,10.0,2,81
217,User525118,Comp825706,None,CachedInteractive,1,5.0,3,81
218,User525118,Comp275585,Comp939275,NetworkLogon,0,4.0,7,81
219,User525118,Comp939275,ActiveDirectory,NetworkLogon,1,8.0,13,81
220,User525118,Comp275585,Comp939275,NetworkLogon,1,2.0,17,81
221,User525118,Comp275585,None,InteractiveLogon,0,2.0,17,81
222,User546407,Comp684141,Comp915658,NetworkLogon,0,3.0,1,58
223,User546407,Comp684141,Comp916004,NetworkLogon,1,9.0,2,58
224,User546407,Comp684141,None,WorkstationUnlock,0,24.0,2,58
225,User546407,Comp684141,ActiveDirectory,TGS,0,77.0,3,58
226,User546407,Comp684141,Comp953301,NetworkLogon,0,1.0,7,58
227,User546407,Comp684141,ActiveDirectory,NetworkLogon,0,562.0,9,58
228,User546407,Comp684141,None,WorkstationLock,0,8.0,10,58
229,User546407,Comp684141,Comp829338,TGS,0,3.0,11,58
230,User546407,Comp684141,Comp684141,TGS,0,8.0,13,58
231,User546407,Comp684141,Comp788417,TGS,0,76.0,13,58
232,User546407,Comp107130,Comp916004,NetworkLogon,0,37.0,15,58
233,User546407,Comp684141,Comp370444,TGS,0,9.0,18,58
234,User546407,Comp684141,Comp915658,TGS,0,3.0,19,58
235,User546407,Comp684141,ActiveDirectory,TGT,0,75.0,22,58
236,User546407,Comp684141,Comp370444,NetworkLogon,0,32.0,23,58
237,User546407,Comp684141,Comp915658,NetworkLogon,0,4.0,1,59
238,User546407,Comp684141,Comp916004,NetworkLogon,1,5.0,2,59
239,User546407,Comp684141,None,WorkstationUnlock,0,30.0,2,59
240,User546407,Comp684141,ActiveDirectory,TGS,0,75.0,3,59
241,User546407,Comp684141,ActiveDirectory,NetworkLogon,0,645.0,9,59
242,User546407,Comp215429,Comp684141,NetworkLogon,1,1.0,10,59
243,User546407,Comp684141,None,WorkstationLock,0,10.0,10,59
244,User546407,Comp684141,Comp829338,TGS,0,3.0,11,59
245,User546407,Comp684141,Comp684141,TGS,0,10.0,13,59
246,User546407,Comp684141,Comp788417,TGS,0,67.0,13,59
247,User546407,Comp107130,Comp916004,NetworkLogon,0,44.0,15,59
248,User546407,Comp684141,Comp370444,TGS,0,11.0,18,59
249,User546407,Comp684141,Comp915658,TGS,0,3.0,19,59
250,User546407,Comp684141,ActiveDirectory,TGT,0,68.0,22,59
251,User546407,Comp684141,Comp370444,NetworkLogon,0,34.0,23,59
252,User546407,Comp684141,None,WorkstationUnlock,0,12.0,2,60
253,User546407,Comp684141,ActiveDirectory,TGS,0,70.0,3,60
254,User546407,Comp684141,None,WorkstationLock,0,4.0,6,60
255,User546407,Comp684141,Comp953301,NetworkLogon,0,1.0,7,60
256,User546407,Comp684141,Comp915658,NetworkLogon,0,2.0,8,60
257,User546407,Comp684141,ActiveDirectory,NetworkLogon,0,609.0,9,60
258,User546407,Comp684141,Comp684141,TGS,0,4.0,13,60
259,User546407,Comp684141,Comp788417,TGS,0,72.0,13,60
260,User546407,Comp107130,Comp916004,NetworkLogon,0,39.0,15,60
261,User546407,Comp684141,Comp916004,NetworkLogon,1,5.0,16,60
262,User546407,Comp684141,Comp370444,TGS,0,6.0,18,60
263,User546407,Comp684141,Comp915658,TGS,0,3.0,19,60
264,User546407,Comp684141,Comp829338,TGS,0,3.0,19,60
265,User546407,Comp684141,ActiveDirectory,TGT,0,70.0,22,60
266,User546407,Comp684141,Comp370444,NetworkLogon,0,28.0,23,60
267,User546407,Comp684141,Comp788417,TGS,0,46.0,4,61
268,User546407,Comp684141,Comp370444,NetworkLogon,0,20.0,4,61
269,User546407,Comp684141,ActiveDirectory,TGS,0,24.0,7,61
270,User546407,Comp684141,ActiveDirectory,TGT,0,45.0,9,61
271,User546407,Comp684141,Comp915658,TGS,0,1.0,14,61
272,User546407,Comp684141,Comp370444,TGS,0,2.0,14,61
273,User546407,Comp684141,ActiveDirectory,NetworkLogon,0,385.0,15,61
274,User546407,Comp684141,Comp915658,NetworkLogon,0,1.0,16,61
275,User546407,Comp684141,Comp829338,TGS,0,1.0,20,61
276,User546407,Comp107130,Comp916004,NetworkLogon,0,63.0,21,61
277,User546407,Comp684141,Comp788417,TGS,0,1.0,9,62
278,User546407,Comp684141,ActiveDirectory,TGT,0,1.0,9,62
279,User546407,Comp684141,ActiveDirectory,NetworkLogon,0,84.0,13,62
280,User546407,Comp107130,Comp916004,NetworkLogon,0,10.0,18,62
281,User546407,Comp684141,Comp370444,NetworkLogon,0,6.0,21,62
282,User546407,Comp684141,Comp788417,TGS,0,41.0,4,63
283,User546407,Comp684141,Comp370444,NetworkLogon,0,24.0,4,63
284,User546407,Comp684141,Comp546675,TGS,0,1.0,5,63
285,User546407,Comp684141,Comp915658,TGS,0,1.0,6,63
286,User546407,Comp684141,ActiveDirectory,TGS,0,33.0,6,63
287,User546407,Comp684141,Comp546675,NetworkLogon,0,1.0,7,63
